num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,0,0.027742,0,0,0.00121,0.001327,0.264264,0.236852,0.068492,1599303904,0.265463
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,1,0.040219,0,0,0.001141,0.001069,0.10076,0.060546,0.048359,1588779408,0.101915
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,2,0.026376,0,0,0.001091,0.001724,0.085408,0.059041,0.04716,1582530264,0.086548
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,3,0.040043,0,0,0.001107,0.001012,0.114641,0.074607,0.063644,1544669744,0.115782
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,4,0.038858,0,0,0.001104,0.001289,0.128026,0.089177,0.080576,1640445792,0.12917
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,5,0.024901,0,0,0.001087,0.001641,0.094574,0.069682,0.0587,1537942560,0.095714
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,6,0.04146,0,0,0.001133,0.001016,0.118711,0.077259,0.068604,1586345336,0.11985
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,7,0.041334,0,0,0.001132,0.000925,0.103648,0.062322,0.05022,1684955000,0.104787
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,8,0.04192,0,0,0.001164,0.001105,0.116967,0.075056,0.066837,1540802000,0.118111
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,9,0.024671,0,0,0.001085,0.001009,0.102832,0.078172,0.070426,1563420656,0.103973
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,10,0.043223,0,0,0.001182,0.00117,0.135119,0.091905,0.082908,1675523080,0.136262
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,11,0.03081,0,0,0.001093,0.000974,0.119756,0.088956,0.080884,1530205432,0.120896
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,12,0.029498,0,0,0.001071,0.000972,0.088403,0.058914,0.047334,1355171328,0.089543
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,13,0.025599,0,0,0.000994,0.000612,0.101197,0.075606,0.068103,1199901864,0.10234
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,14,0.028092,0,0,0.001087,0.001681,0.088314,0.060232,0.047527,1591505912,0.089458
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,15,0.023913,0,0,0.001079,0.001604,0.107591,0.083688,0.076569,1437044152,0.108732
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,16,0.020517,0,0,0.000958,0.000908,0.080821,0.060313,0.04553,1215450960,0.081965
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,17,0.040429,0,0,0.001111,0.000993,0.132428,0.092005,0.082944,1647429632,0.133567
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,18,0.024329,0,0,0.001076,0.000965,0.110036,0.085716,0.077879,1468753144,0.111177
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,19,0.026248,0,0,0.001034,0.000556,0.084297,0.058057,0.047734,1148608056,0.085435
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,20,0.033715,0,0,0.001106,0.000994,0.096168,0.062463,0.048301,1564474448,0.09731
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,21,0.032045,0,0,0.001093,0.000775,0.094489,0.062454,0.048764,1573536016,0.095629
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,22,0.029341,0,0,0.001099,0.000824,0.089347,0.060014,0.043606,1498874856,0.090487
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,23,0.041804,0,0,0.001118,0.001221,0.103523,0.06173,0.045781,1609331856,0.104663
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,24,0.031398,0,0,0.000984,0.000636,0.106559,0.075169,0.067671,1280011104,0.107699
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,25,0.039981,0,0,0.001142,0.001088,0.102019,0.062046,0.046472,1579524352,0.10316
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,26,0.018536,0,0,0.001111,0.001774,0.079018,0.060489,0.051059,1193076408,0.080158
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,27,0.034178,0,0,0.001074,0.001279,0.126837,0.092669,0.084536,1588930272,0.127977
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,28,0.03164,0,0,0.001094,0.00115,0.091515,0.059884,0.043686,1459761104,0.092654
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,29,0.028008,0,0,0.00107,0.001013,0.099498,0.071499,0.059744,1530000992,0.100637
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,30,0.034,0,0,0.001104,0.000819,0.095388,0.061396,0.048884,1675178160,0.096528
8192,Sequential,radix-k 4,1,1,2048,2048,yes,yes,yes,512,31,0.021125,0,0,0.00114,0.001751,0.082704,0.061589,0.049239,1287616384,0.083844
