num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,Intrepid Mode
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,86,0.011631,0,0,0.000251,0.000242,0.028668,0.017046,0.010804,366195936,0.029204,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,87,0.010268,0,0,0.000246,9.7e-05,0.031117,0.020858,0.015139,321695200,0.031655,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,88,0.010689,0,0,0.000254,0.000127,0.026705,0.016024,0.010243,258945920,0.027242,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,89,0.013742,0,0,0.000253,0.000181,0.030252,0.016519,0.010287,366250736,0.030789,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,90,0.011617,0,0,0.000249,0.000209,0.035715,0.024105,0.018085,370018552,0.036249,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,91,0.011175,0,0,0.000242,0.00013,0.034374,0.023207,0.017411,355831608,0.034913,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,92,0.012491,0,0,0.00024,0.000194,0.029937,0.017454,0.011589,315646072,0.030473,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,93,0.013624,0,0,0.000243,0.000134,0.037816,0.024199,0.018246,336952472,0.038353,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,94,0.011551,0,0,0.000246,0.000146,0.027683,0.01614,0.010272,338335432,0.028218,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,95,0.007157,0,0,0.000243,0.000257,0.032339,0.025191,0.01963,286282528,0.032877,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,96,0.010437,0,0,0.000246,0.000263,0.026455,0.016026,0.010116,339431648,0.026991,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,97,0.010759,0,0,0.000253,0.000109,0.026996,0.016245,0.010373,264259968,0.027533,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,98,0.010807,0,0,0.000245,9.5e-05,0.032934,0.022136,0.016164,365026968,0.033473,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,99,0.010786,0,0,0.000247,0.000264,0.028743,0.017965,0.012089,343533872,0.029278,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,100,0.011522,0,0,0.000248,0.000117,0.032539,0.021025,0.015221,341246800,0.033076,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,0,0.010109,0,0,0.000135,0.000143,0.063104,0.053017,0.022923,369849280,0.063636,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,1,0.011575,0,0,0.000137,0.000141,0.031748,0.020179,0.013948,350293336,0.032284,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,2,0.008457,0,0,0.00013,0.000142,0.030367,0.021919,0.015654,350043992,0.030903,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,3,0.012324,0,0,0.000138,0.000131,0.039708,0.027393,0.021225,341282960,0.040248,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,4,0.013056,0,0,0.000134,0.000138,0.044405,0.031357,0.025007,373593592,0.044944,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,5,0.007474,0,0,0.000134,0.000133,0.025996,0.01853,0.012546,338168120,0.026533,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,6,0.012064,0,0,0.000134,0.000157,0.042194,0.030137,0.023983,348161568,0.042732,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,7,0.013507,0,0,0.000137,0.000123,0.034215,0.020716,0.014161,381781688,0.034751,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,8,0.011874,0,0,0.000136,0.000172,0.042746,0.030883,0.024669,338608624,0.043284,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,9,0.007638,0,0,0.000133,0.000133,0.036508,0.028879,0.022864,340316560,0.037047,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,10,0.013764,0,0,0.000135,0.00018,0.045743,0.031986,0.025553,379237296,0.046281,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,11,0.008997,0,0,0.000133,0.000138,0.039211,0.030222,0.024276,333694720,0.039747,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,12,0.012044,0,0,0.000136,7.7e-05,0.03398,0.021944,0.015762,318329360,0.034518,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,13,0.010758,0,0,0.000133,5.3e-05,0.039274,0.028525,0.022406,291653784,0.039811,SMP
