num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,interlacing,collection,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,IceT Version
2048,Sequential,radix-k 2,1,1,no,no,82,0.071754,0,0,0.000169,0.000261,0.125151,0.0534,0,1064092776,0.125518,Original
2048,Sequential,radix-k 2,1,1,no,no,83,0.067596,0,0,0.000172,0.000285,0.1167,0.049106,0,894405200,0.117063,Original
2048,Sequential,radix-k 2,1,1,no,no,84,0.084452,0,0,0.00016,0.000298,0.143734,0.059284,0,1101820820,0.1441,Original
2048,Sequential,radix-k 2,1,1,no,no,85,0.086368,0,0,0.000169,0.000292,0.146192,0.059826,0,1057114564,0.146559,Original
2048,Sequential,radix-k 2,1,1,no,no,86,0.077518,0,0,0.000168,0.000311,0.144564,0.067048,0,1137336544,0.14493,Original
2048,Sequential,radix-k 2,1,1,no,no,87,0.080811,0,0,0.000162,0.000311,0.133304,0.052495,0,1020142472,0.133669,Original
2048,Sequential,radix-k 2,1,1,no,no,88,0.05312,0,0,0.000164,0.00022,0.098932,0.045814,0,754457484,0.099296,Original
2048,Sequential,radix-k 2,1,1,no,no,89,0.10403,0,0,0.000173,0.000307,0.164552,0.060524,0,1141304844,0.164919,Original
2048,Sequential,radix-k 2,1,1,no,no,90,0.091864,0,0,0.000164,0.000323,0.152711,0.060849,0,1173078200,0.153073,Original
2048,Sequential,radix-k 2,1,1,no,no,91,0.08704,0,0,0.000169,0.000279,0.141292,0.054255,0,1104379868,0.141662,Original
2048,Sequential,radix-k 2,1,1,no,no,92,0.067767,0,0,0.000171,0.000258,0.119935,0.052169,0,950814928,0.120299,Original
2048,Sequential,radix-k 2,1,1,no,no,93,0.075658,0,0,0.000171,0.000282,0.131516,0.055859,0,1028175944,0.131881,Original
2048,Sequential,radix-k 2,1,1,no,no,94,0.092882,0,0,0.00016,0.000316,0.150275,0.057396,0,1070191716,0.150636,Original
2048,Sequential,radix-k 2,1,1,no,no,95,0.052035,0,0,0.000157,0.000294,0.102317,0.050284,0,891356824,0.102682,Original
2048,Sequential,radix-k 2,1,1,no,no,96,0.080926,0,0,0.000158,0.000297,0.13941,0.058487,0,1060568304,0.139776,Original
2048,Sequential,radix-k 2,1,1,no,no,97,0.055317,0,0,0.000163,0.000233,0.101319,0.046006,0,776604756,0.101685,Original
2048,Sequential,radix-k 2,1,1,no,no,98,0.077119,0,0,0.000165,0.00031,0.132998,0.05588,0,1146323408,0.133363,Original
2048,Sequential,radix-k 2,1,1,no,no,99,0.084691,0,0,0.000161,0.000309,0.143403,0.058713,0,1072121416,0.143767,Original
2048,Sequential,radix-k 2,1,1,no,no,100,0.090948,0,0,0.000166,0.00033,0.147801,0.056854,0,1073427784,0.148168,Original
2048,Sequential,radix-k 4,1,1,no,no,0,0.070601,0,0,0.000163,0.000296,0.216571,0.146001,0,962457744,0.216917,Original
2048,Sequential,radix-k 4,1,1,no,no,1,0.089104,0,0,0.000171,0.000336,0.140834,0.051734,0,885999912,0.141176,Original
2048,Sequential,radix-k 4,1,1,no,no,2,0.060767,0,0,0.000157,0.000292,0.115437,0.054672,0,905975360,0.115767,Original
2048,Sequential,radix-k 4,1,1,no,no,3,0.088723,0,0,0.000174,0.000331,0.267906,0.179185,0,855607324,0.268242,Original
2048,Sequential,radix-k 4,1,1,no,no,4,0.101009,0,0,0.000165,0.000309,0.157617,0.05661,0,966483672,0.157952,Original
2048,Sequential,radix-k 4,1,1,no,no,5,0.052361,0,0,0.00016,0.000295,0.102857,0.050498,0,850258220,0.103191,Original
2048,Sequential,radix-k 4,1,1,no,no,6,0.097032,0,0,0.000165,0.000333,0.147239,0.050208,0,890393168,0.147574,Original
2048,Sequential,radix-k 4,1,1,no,no,7,0.098852,0,0,0.000172,0.000321,0.153361,0.054511,0,976938620,0.153694,Original
2048,Sequential,radix-k 4,1,1,no,no,8,0.093729,0,0,0.000173,0.00036,0.146322,0.052596,0,851147796,0.146656,Original
2048,Sequential,radix-k 4,1,1,no,no,9,0.0573,0,0,0.00016,0.000295,0.10781,0.050512,0,870844124,0.108144,Original
2048,Sequential,radix-k 4,1,1,no,no,10,0.107442,0,0,0.000171,0.000351,0.166892,0.059453,0,977347984,0.167226,Original
2048,Sequential,radix-k 4,1,1,no,no,11,0.066385,0,0,0.000161,0.000299,0.116259,0.049875,0,842610460,0.116623,Original
2048,Sequential,radix-k 4,1,1,no,no,12,0.066248,0,0,0.000171,0.000254,0.113745,0.047499,0,789147624,0.114078,Original
2048,Sequential,radix-k 4,1,1,no,no,13,0.058322,0,0,0.00016,0.000189,0.101903,0.043583,0,719407796,0.102236,Original
2048,Sequential,radix-k 4,1,1,no,no,14,0.061987,0,0,0.000157,0.000292,0.115076,0.053091,0,902619600,0.115414,Original
2048,Sequential,radix-k 4,1,1,no,no,15,0.052411,0,0,0.000157,0.000286,0.098494,0.046085,0,781903472,0.098827,Original
2048,Sequential,radix-k 4,1,1,no,no,16,0.064638,0,0,0.000158,0.000164,0.103125,0.038489,0,753692692,0.103459,Original
2048,Sequential,radix-k 4,1,1,no,no,17,0.093569,0,0,0.000166,0.000315,0.147217,0.05365,0,936275276,0.147552,Original
2048,Sequential,radix-k 4,1,1,no,no,18,0.053809,0,0,0.000157,0.000286,0.096132,0.042325,0,792876348,0.096466,Original
2048,Sequential,radix-k 4,1,1,no,no,19,0.054217,0,0,0.000164,0.000211,0.093913,0.039698,0,661780512,0.094245,Original
2048,Sequential,radix-k 4,1,1,no,no,20,0.071711,0,0,0.000168,0.000304,0.125592,0.053883,0,873309204,0.125925,Original
2048,Sequential,radix-k 4,1,1,no,no,21,0.082901,0,0,0.000169,0.000286,0.131707,0.04881,0,920619628,0.132039,Original
2048,Sequential,radix-k 4,1,1,no,no,22,0.071478,0,0,0.000168,0.000301,0.126947,0.055471,0,880567236,0.127279,Original
2048,Sequential,radix-k 4,1,1,no,no,23,0.094466,0,0,0.000178,0.000376,0.142386,0.047924,0,902393092,0.142721,Original
2048,Sequential,radix-k 4,1,1,no,no,24,0.088301,0,0,0.000163,0.000195,0.136201,0.047902,0,797031780,0.136536,Original
2048,Sequential,radix-k 4,1,1,no,no,25,0.092061,0,0,0.000172,0.000339,0.142127,0.050067,0,887597928,0.142461,Original
2048,Sequential,radix-k 4,1,1,no,no,26,0.053509,0,0,0.000157,0.000294,0.104104,0.050596,0,746654316,0.10444,Original
2048,Sequential,radix-k 4,1,1,no,no,27,0.089866,0,0,0.000171,0.000274,0.143813,0.053948,0,951043536,0.144145,Original
2048,Sequential,radix-k 4,1,1,no,no,28,0.10157,0,0,0.000173,0.000271,0.152265,0.050698,0,894464624,0.152632,Original
2048,Sequential,radix-k 4,1,1,no,no,29,0.070291,0,0,0.000168,0.000259,0.120012,0.049723,0,898904808,0.120345,Original
2048,Sequential,radix-k 4,1,1,no,no,30,0.086562,0,0,0.000171,0.000306,0.143829,0.057268,0,978619300,0.14416,Original
2048,Sequential,radix-k 4,1,1,no,no,31,0.06298,0,0,0.00016,0.000313,0.116351,0.053375,0,811462616,0.116722,Original
2048,Sequential,radix-k 4,1,1,no,no,32,0.079068,0,0,0.000157,0.0003,0.132215,0.05315,0,893624368,0.132548,Original
2048,Sequential,radix-k 4,1,1,no,no,33,0.073839,0,0,0.000172,0.000286,0.12521,0.051373,0,868451096,0.125544,Original
2048,Sequential,radix-k 4,1,1,no,no,34,0.073657,0,0,0.00017,0.000295,0.123423,0.049768,0,819941480,0.123757,Original
2048,Sequential,radix-k 4,1,1,no,no,35,0.070737,0,0,0.000174,0.00028,0.129521,0.058786,0,864069812,0.129855,Original
2048,Sequential,radix-k 4,1,1,no,no,36,0.066011,0,0,0.000166,0.000246,0.113489,0.047481,0,931588408,0.113823,Original
2048,Sequential,radix-k 4,1,1,no,no,37,0.096793,0,0,0.000172,0.000287,0.153226,0.056436,0,968938760,0.153561,Original
2048,Sequential,radix-k 4,1,1,no,no,38,0.062088,0,0,0.000159,0.000278,0.115253,0.053166,0,788900344,0.115586,Original
2048,Sequential,radix-k 4,1,1,no,no,39,0.063669,0,0,0.00016,0.000273,0.114436,0.050768,0,748257904,0.11477,Original
2048,Sequential,radix-k 4,1,1,no,no,40,0.063759,0,0,0.000166,0.000302,0.118824,0.055067,0,861169740,0.119157,Original
2048,Sequential,radix-k 4,1,1,no,no,41,0.052086,0,0,0.000158,0.000173,0.094938,0.042853,0,715914660,0.09527,Original
2048,Sequential,radix-k 4,1,1,no,no,42,0.060152,0,0,0.000156,0.000287,0.106576,0.046427,0,745484608,0.10691,Original
2048,Sequential,radix-k 4,1,1,no,no,43,0.070611,0,0,0.000168,0.000309,0.129655,0.059047,0,854313628,0.129988,Original
2048,Sequential,radix-k 4,1,1,no,no,44,0.074607,0,0,0.000167,0.000308,0.130562,0.055957,0,867488632,0.130897,Original
2048,Sequential,radix-k 4,1,1,no,no,45,0.094059,0,0,0.00017,0.000337,0.153913,0.059856,0,932137980,0.15428,Original
2048,Sequential,radix-k 4,1,1,no,no,46,0.099845,0,0,0.000168,0.000343,0.156774,0.05693,0,921117204,0.157107,Original
2048,Sequential,radix-k 4,1,1,no,no,47,0.077905,0,0,0.000157,0.000297,0.135767,0.057863,0,881213540,0.136102,Original
2048,Sequential,radix-k 4,1,1,no,no,48,0.099479,0,0,0.000176,0.000341,0.152452,0.052976,0,912073372,0.152828,Original
