num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,interlacing,collection,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time
64,Sequential,radix-k 4,1,1,yes,no,47,0.574578,0,0,0.004475,0.00779,0.657737,0.083162,0,229508208,0.657899
64,Sequential,radix-k 4,1,1,yes,no,48,0.731317,0,0,0.004988,0.007509,0.813666,0.082349,0,223207496,0.81383
64,Sequential,radix-k 4,1,1,yes,no,49,0.708116,0,0,0.004837,0.005884,0.798068,0.089956,0,242008472,0.79823
64,Sequential,radix-k 4,1,1,yes,no,50,0.674531,0,0,0.004842,0.004664,0.754798,0.080272,0,209220144,0.75496
64,Sequential,radix-k 4,1,1,yes,no,51,0.556914,0,0,0.004728,0.004423,0.638883,0.081973,0,224665760,0.639046
64,Sequential,radix-k 4,1,1,yes,no,52,0.470638,0,0,0.004459,0.007378,0.54488,0.074242,0,224683080,0.545042
64,Sequential,radix-k 4,1,1,yes,no,53,0.569184,0,0,0.004716,0.006724,0.645751,0.076567,0,229663464,0.64591
64,Sequential,radix-k 4,1,1,yes,no,54,0.411598,0,0,0.004416,0.004275,0.475343,0.063749,0,161458824,0.475502
64,Sequential,radix-k 4,1,1,yes,no,55,0.58437,0,0,0.004871,0.009518,0.653482,0.069115,0,200077248,0.653643
64,Sequential,radix-k 4,1,1,yes,no,56,0.707616,0,0,0.004865,0.006629,0.800872,0.093261,0,259108736,0.801035
64,Sequential,radix-k 4,1,1,yes,no,57,0.647657,0,0,0.004982,0.009122,0.725947,0.078293,0,220296592,0.72611
64,Sequential,radix-k 4,1,1,yes,no,58,0.829664,0,0,0.004857,0.007919,0.921985,0.092326,0,235099504,0.92215
64,Sequential,radix-k 4,1,1,yes,no,59,0.481104,0,0,0.004473,0.002089,0.546201,0.065098,0,168507528,0.546363
64,Sequential,radix-k 4,1,1,yes,no,60,0.563679,0,0,0.00449,0.007565,0.646867,0.083188,0,239152408,0.647024
64,Sequential,radix-k 4,1,1,yes,no,61,0.70685,0,0,0.004877,0.007094,0.796113,0.089268,0,244420456,0.796275
64,Sequential,radix-k 4,1,1,yes,no,62,0.721265,0,0,0.00485,0.006451,0.814286,0.093026,0,239429472,0.81445
64,Sequential,radix-k 4,1,1,yes,no,63,0.762446,0,0,0.004962,0.005382,0.844502,0.08206,0,211983840,0.844663
64,Sequential,radix-k 4,1,1,yes,no,64,0.438063,0,0,0.004424,0.007211,0.50665,0.06859,0,183639440,0.506811
64,Sequential,radix-k 4,1,1,yes,no,65,0.565949,0,0,0.004664,0.007054,0.640898,0.074953,0,218417736,0.64106
64,Sequential,radix-k 4,1,1,yes,no,66,0.593558,0,0,0.004699,0.001521,0.653788,0.06023,0,148263464,0.653951
64,Sequential,radix-k 4,1,1,yes,no,67,0.593994,0,0,0.004578,0.007902,0.682845,0.088852,0,227148064,0.683005
64,Sequential,radix-k 4,1,1,yes,no,68,0.659229,0,0,0.004834,0.003946,0.731657,0.072428,0,182435728,0.73182
64,Sequential,radix-k 4,1,1,yes,no,69,0.660125,0,0,0.004736,0.005369,0.743242,0.08312,0,223675688,0.743402
64,Sequential,radix-k 4,1,1,yes,no,70,0.666247,0,0,0.004835,0.004201,0.743817,0.077571,0,208683960,0.743978
64,Sequential,radix-k 4,1,1,yes,no,71,0.498834,0,0,0.004474,0.007339,0.583234,0.084404,0,243225088,0.583396
64,Sequential,radix-k 4,1,1,yes,no,72,0.537582,0,0,0.004507,0.007919,0.618752,0.081173,0,226855824,0.618917
64,Sequential,radix-k 4,1,1,yes,no,73,0.623818,0,0,0.004531,0.008192,0.698151,0.074338,0,203679160,0.698317
64,Sequential,radix-k 4,1,1,yes,no,74,0.796204,0,0,0.004849,0.007075,0.889701,0.093501,0,241662376,0.889865
64,Sequential,radix-k 4,1,1,yes,no,75,0.792186,0,0,0.005029,0.004412,0.877067,0.084882,0,235528072,0.877228
64,Sequential,radix-k 4,1,1,yes,no,76,0.762189,0,0,0.005051,0.004716,0.850455,0.08827,0,227753416,0.850617
64,Sequential,radix-k 4,1,1,yes,no,77,0.604402,0,0,0.004675,0.002094,0.668852,0.064454,0,160131648,0.669017
64,Sequential,radix-k 4,1,1,yes,no,78,0.563775,0,0,0.004754,0.006246,0.648555,0.084785,0,234113088,0.648716
64,Sequential,radix-k 4,1,1,yes,no,79,0.613686,0,0,0.004754,0.006686,0.703467,0.089785,0,238715032,0.703631
64,Sequential,radix-k 4,1,1,yes,no,80,0.77225,0,0,0.005001,0.00518,0.857981,0.085735,0,225533736,0.858144
64,Sequential,radix-k 4,1,1,yes,no,81,0.759372,0,0,0.004801,0.009157,0.85321,0.093843,0,252360496,0.853371
64,Sequential,radix-k 4,1,1,yes,no,82,0.710243,0,0,0.004801,0.004597,0.794968,0.084727,0,223453376,0.795129
64,Sequential,radix-k 4,1,1,yes,no,83,0.737566,0,0,0.00492,0.005013,0.813212,0.07565,0,197619984,0.813373
64,Sequential,radix-k 4,1,1,yes,no,84,0.616336,0,0,0.00459,0.007307,0.702162,0.085829,0,226860360,0.702323
64,Sequential,radix-k 4,1,1,yes,no,85,0.695308,0,0,0.004824,0.005954,0.783733,0.088429,0,219815216,0.783897
64,Sequential,radix-k 4,1,1,yes,no,86,0.660092,0,0,0.004783,0.007387,0.753825,0.093738,0,238688504,0.75399
64,Sequential,radix-k 4,1,1,yes,no,87,0.585947,0,0,0.00463,0.007634,0.660032,0.074085,0,219578240,0.660194
64,Sequential,radix-k 4,1,1,yes,no,88,0.610248,0,0,0.004697,0.002579,0.677458,0.067214,0,167568464,0.677618
64,Sequential,radix-k 4,1,1,yes,no,89,0.783637,0,0,0.004922,0.006113,0.875055,0.091422,0,242542344,0.875216
64,Sequential,radix-k 4,1,1,yes,no,90,0.666041,0,0,0.004716,0.008036,0.755082,0.089045,0,253695560,0.755241
64,Sequential,radix-k 4,1,1,yes,no,91,0.637415,0,0,0.004803,0.005172,0.720037,0.082625,0,227586800,0.720199
64,Sequential,radix-k 4,1,1,yes,no,92,0.718419,0,0,0.004864,0.003798,0.798169,0.079751,0,209096488,0.79833
64,Sequential,radix-k 4,1,1,yes,no,93,0.7789,0,0,0.004884,0.005272,0.865154,0.086254,0,217579816,0.865315
64,Sequential,radix-k 4,1,1,yes,no,94,0.668401,0,0,0.004582,0.008114,0.74917,0.080771,0,216848544,0.749331
64,Sequential,radix-k 4,1,1,yes,no,95,0.400779,0,0,0.004444,0.007667,0.470246,0.06947,0,179918128,0.470411
64,Sequential,radix-k 4,1,1,yes,no,96,0.59357,0,0,0.004507,0.007923,0.678795,0.085227,0,217281632,0.678957
64,Sequential,radix-k 4,1,1,yes,no,97,0.624476,0,0,0.004666,0.003559,0.691931,0.067458,0,183386648,0.692095
64,Sequential,radix-k 4,1,1,yes,no,98,0.616206,0,0,0.00471,0.007197,0.700807,0.084604,0,237988712,0.700967
64,Sequential,radix-k 4,1,1,yes,no,99,0.627512,0,0,0.004574,0.008145,0.712217,0.084709,0,219691568,0.71238
64,Sequential,radix-k 4,1,1,yes,no,100,0.660784,0,0,0.004745,0.008101,0.741035,0.080254,0,217575712,0.741198
64,Sequential,radix-k 8,1,1,yes,no,0,0.578736,0,0,0.004593,0.007612,0.743792,0.165059,0,186816936,0.743958
64,Sequential,radix-k 8,1,1,yes,no,1,0.663741,0,0,0.004855,0.007823,0.739226,0.07549,0,186353632,0.739388
64,Sequential,radix-k 8,1,1,yes,no,2,0.472715,0,0,0.004471,0.007402,0.546149,0.073438,0,169043528,0.546306
64,Sequential,radix-k 8,1,1,yes,no,3,0.708131,0,0,0.004911,0.00742,0.785105,0.076979,0,185169488,0.785265
64,Sequential,radix-k 8,1,1,yes,no,4,0.743776,0,0,0.004694,0.007393,0.829,0.085225,0,191144472,0.829164
64,Sequential,radix-k 8,1,1,yes,no,5,0.432112,0,0,0.004546,0.007123,0.504868,0.072759,0,161557736,0.505029
64,Sequential,radix-k 8,1,1,yes,no,6,0.703845,0,0,0.004699,0.008407,0.78061,0.07677,0,167278776,0.780772
64,Sequential,radix-k 8,1,1,yes,no,7,0.760225,0,0,0.004887,0.006793,0.846187,0.085967,0,210359920,0.846348
